Time (days),BMD total hip,Error low: BMD total hip,Error high: BMD total hip,P1NP,Error low: P1NP,Error high: P1NP,CTX,Error low: CTX,Error high: CTX,Medication: Blosozumab (mg)
9125,1.0,,,,,,,,,
12775,0.9895287958115183,,,,,,,,,
16425,0.9633507853403143,,,,,,,,,
20075,0.9172774869109946,,,,,,,,,
23725,0.8471204188481676,0.8471204188481676,0.8471204188481676,1.0,1.0,1.0,1.0,1.0,1.0,270.0
23732,,,,1.7204545455,1.5747479133,2.0001447390000004,0.6333514159,0.5436754177,0.7441527446,
23739,,,,2.4125,1.9049741883,2.6859265690000003,0.5503309103,0.3957040573,0.8109785203,270.0
23753,,,,2.5477272730000005,1.9432045158,2.927341149,0.7284908322,0.6057279235999999,0.8587112172,270.0
23767,,,,,,,,,,270.0
23781,,,,,,,,,,270.0
23795,,,,,,,,,,270.0
23809,,,,1.8715909091,1.2961451247,2.686621315,0.9900943908,0.7966587112,1.3408114558,270.0
23823,,,,,,,,,,270.0
23837,,,,,,,,,,270.0
23851,,,,,,,,,,270.0
23865,,,,,,,,,,270.0
23879,,,,1.8159090909,1.2777826024,2.122236696,0.8720082456,0.7441527446,1.2548926014,270.0
23893,0.8824635694899582,0.8771546882398429,0.8871661113732252,1.4738636364,1.06204467603,1.9826892459,0.99081045893,0.7059665871,1.2930787589,270.0
23907,,,,,,,,,,270.0
23921,,,,,,,,,,270.0
23935,,,,,,,,,,270.0
23949,,,,,,,,,,270.0
23963,,,,,,,,,,270.0
23977,,,,,,,,,,270.0
23991,,,,,,,,,,270.0
24005,,,,,,,,,,270.0
24019,,,,,,,,,,270.0
24033,,,,,,,,,,270.0
24047,,,,,,,,,,270.0
24061,,,,,,,,,,270.0
24075,,,,,,,,,,270.0
24089,0.9038238716939686,0.8979476439790577,0.9092425828942095,0.98863636364,0.8163458291,1.2544603657,0.8500379733,0.5198090692,0.97804295943,
24117,,,,0.7102272727000001,0.5245718145,0.94997828919,0.8740154063,0.5818615752,1.1928400955,
24173,0.8991915169988168,0.892556877680377,0.9053920355404294,0.8931818182,0.6584648044,1.02036956627,1.06438103504,0.91599045346,1.3169451074,
24257,0.8935297501520104,0.8876795176910157,0.8984610502968483,0.7977272727,0.4815072128,0.93864042071,1.1897580558,0.7584725537,1.4649164678,
24341,0.8904415136885759,0.8845990798012147,0.8953806124070471,0.7102272727000001,0.5839339991,0.96486708158,1.1370728003,0.8682577566,1.5269689737,
24453,0.8806620982182094,0.8740742503585132,0.8856258924283246,0.6863636364,0.5088435374,0.92789115646,1.08455028751,0.6821002387,1.2835322196,
