Time (days),BMD total hip,Error low: BMD total hip,Error high: BMD total hip,P1NP,Error low: P1NP,Error high: P1NP,CTX,Error low: CTX,Error high: CTX
9125,1.0,,,,,,,,
12775,0.9895287958115183,,,,,,,,
16425,0.9633507853403143,,,,,,,,
20075,0.9172774869109946,,,,,,,,
23725,0.8471204188481676,,,,,,,,
24820,0.8254450261780105,0.8254450261780105,0.8254450261780105,1.0,1.0,1.0,1.0,1.0,1.0
25185,0.8426468103825581,0.8426468103825581,0.8426468103825581,,,,,,
25550,0.849816262725401,0.849816262725401,0.849816262725401,,,,,,
25915,0.8543745907271215,0.8543745907271215,0.8543745907271215,0.3156833457553003,0.26034353996063986,0.3625466766361387,0.24300286607696492,0.1936572349407613,0.3013204342578005
26280,0.8536272911676377,0.8536272911676377,0.8536272911676377,0.33166542195796456,0.2805825242706833,0.3827669903953966,0.32712449722944714,0.255349025993805,0.4034054337165597
27010,0.8535687636649215,0.8535687636649215,0.8535687636649215,0.4469753548633935,0.4001493652834915,0.48954443613655113,0.5542803032767594,0.4827602615510961,0.6436803504095557
27375,0.8416983399731089,0.8370712778821958,0.845297166037399,,,,,,
27740,0.8385076282017059,0.833371748292376,0.8415976364393247,,,,,,
28105,0.8327533932999016,0.826585743914443,0.8378945733917446,0.6938760268856761,0.6427931291983948,0.7492158326803365,0.9342305061032851,0.8358904562669222,1.045980567531422
28470,0.8311050355560514,0.8249409196283529,0.8357356310964701,,,,,,
28835,0.8258596184809184,0.8217519745899571,0.8304937474790974,0.7364451083581989,0.6640776699346562,0.8002987303676178,0.9923405412614571,0.8850604836972449,1.1085606015292357
