Time (days),BMD total hip,Error low: BMD total hip,Error high: BMD total hip,P1NP,Error low: P1NP,Error high: P1NP,CTX,Error low: CTX,Error high: CTX
9125,1.0,,,,,,,,
12775,0.9895287958115183,,,,,,,,
16425,0.9633507853403143,,,,,,,,
20075,0.9172774869109946,,,,,,,,
23725,0.8471204188481676,,,,,,,,
24820,0.8254450261780105,0.8254450261780105,0.8254450261780105,1.0,1.0,1.0,1.0,1.0,1.0
25185,0.8426468103825581,0.8426468103825581,0.8426468103825581,,,,,,
25550,0.849816262725401,0.849816262725401,0.849816262725401,,,,,,
25915,0.8543745907271215,0.8543745907271215,0.8543745907271215,0.3156833457553003,0.26034353996063986,0.3625466766361387,0.24300286607696492,0.1936572349407613,0.3013204342578005
26280,0.8536272911676377,0.8532049317819749,0.8532049317819749,0.33166542195796456,0.2805825242706833,0.3827669903953966,0.32712449722944714,0.255349025993805,0.4034054337165597
27010,0.8535687636649215,0.8535687636649215,0.8535687636649215,0.49805825255067476,0.4640029872929105,0.5406273338238323,0.5542803032767594,0.4827602615510961,0.6436803504095557
27375,0.853524820917355,0.853524820917355,0.853524820917355,,,,,,
27740,0.8523941146404492,0.8523941146404492,0.8523941146404492,,,,,,
28105,0.8471486975653163,0.841495166189042,0.8517757596479748,0.455489171078152,0.4171769977130085,0.45974607918553123,0.5453402955489101,0.4961702681185873,0.6123903334106486
28470,0.849100932610509,0.8434491679672419,0.853217410149998,,,,,,
28835,0.8484861110757949,0.8423184616903361,0.8531131731584535,0.5278566095016946,0.48954443613655113,0.566168782667473,0.6436803504095557,0.5811003164117418,0.7152003871109361
